id,condition,n_gen_tokens,gen_re_original,mean_slope_original,warmup_magnitude,plateau_std,time_to_95,slope_tw0,slope_tw50,slope_tw100,slope_tw150,slope_tw200,slope_tw250,slope_tw300,slope_tw400,slope_tw500,mean_re_tw0,mean_re_tw50,mean_re_tw100,mean_re_tw150,mean_re_tw200,mean_re_tw250,mean_re_tw300,mean_re_tw400,mean_re_tw500,matched_re_tw0,matched_re_tw50,matched_re_tw100,matched_re_tw150,matched_re_tw200,matched_re_tw250,matched_re_tw300,matched_re_tw400,matched_re_tw500
EXT_01,A,2000,0.89755756,0.0000064375,0.094945,0.030078,2,0.0000069865,0.0000073698,0.0000073438,0.0000074408,0.0000070762,0.0000070087,0.0000071036,0.0000087768,0.0000074868,0.89805417,0.89810531,0.89829899,0.89845417,0.89874664,0.89894295,0.89908929,0.89900649,0.89974709,0.89170378,0.89130706,0.89136333,0.89123038,0.89164457,0.89161142,0.89121743,0.88659604,0.88528144
EXT_02,A,2000,0.93218913,0.0000106841,0.141141,0.018758,2,0.0000106048,0.0000094628,0.0000089280,0.0000092786,0.0000069462,0.0000059042,0.0000055106,0.0000051602,0.0000032467,0.93294116,0.93356442,0.93396172,0.93408331,0.93499579,0.93546412,0.93571712,0.93608303,0.93677954,0.92291178,0.92421213,0.92478778,0.92426718,0.92715352,0.92837837,0.92863193,0.92801346,0.93041561
EXT_03,A,2000,0.88874485,0.0000143922,0.098781,0.031033,2,0.0000142000,0.0000149837,0.0000134787,0.0000134044,0.0000134601,0.0000130204,0.0000121050,0.0000094820,0.0000069964,0.88997811,0.89008279,0.89092561,0.89128826,0.89160768,0.89206114,0.89263888,0.89390769,0.89495806,0.87835679,0.87767019,0.87963559,0.87987256,0.87988300,0.88047703,0.88182471,0.88659196,0.89511698
EXT_04,A,2000,0.89636556,0.0000077991,0.106074,0.031590,2,0.0000081035,0.0000089314,0.0000071796,0.0000070997,0.0000079334,0.0000080685,0.0000072925,0.0000070263,0.0000073167,0.89842502,0.89836295,0.89912041,0.89932306,0.89925362,0.89941336,0.89984347,0.90026456,0.90054173,0.89406667,0.89344924,0.89584103,0.89631078,0.89562006,0.89590049,0.89775850,0.90009644,0.90412610
EXT_05,A,2000,0.90366663,0.0000085668,0.087748,0.029429,2,0.0000088656,0.0000090943,0.0000088225,0.0000060482,0.0000062820,0.0000070716,0.0000088596,0.0000076808,0.0000061729,0.90451499,0.90466047,0.90496953,0.90602795,0.90610971,0.90603894,0.90572064,0.90644842,0.90716215,0.89815608,0.89809365,0.89861244,0.90226550,0.90216287,0.90124257,0.89863072,0.90091951,0.90614876
EXT_06,A,2000,0.90710966,0.0000131429,0.131457,0.028688,6,0.0000131101,0.0000121310,0.0000096054,0.0000087791,0.0000092474,0.0000090080,0.0000085214,0.0000080141,0.0000070573,0.90936059,0.91000205,0.91107836,0.91156750,0.91165348,0.91194984,0.91231359,0.91286293,0.91346037,0.89999553,0.90142105,0.90465939,0.90595998,0.90564515,0.90627038,0.90738883,0.90933082,0.91481521
EXT_07,A,1996,0.89916377,0.0000163165,0.096906,0.030584,2,0.0000162140,0.0000159480,0.0000152991,0.0000148401,0.0000143394,0.0000142546,0.0000133818,0.0000130374,0.0000128255,0.90027935,0.90077147,0.90136903,0.90189590,0.90241370,0.90279316,0.90339470,0.90414431,0.90485446,0.88862518,0.88930813,0.89042999,0.89137801,0.89239071,0.89285314,0.89460305,0.89619704,0.89890071
EXT_08,A,2000,0.89905940,0.0000079005,0.141386,0.029174,2,0.0000079927,0.0000086375,0.0000079894,0.0000080822,0.0000080778,0.0000083476,0.0000090776,0.0000076686,0.0000065896,0.90105178,0.90104247,0.90145902,0.90163341,0.90183742,0.90196440,0.90197095,0.90277681,0.90341242,0.89108247,0.89014147,0.89063522,0.89014846,0.88962959,0.88851733,0.88630585,0.88491323,0.87649967
EXT_09,A,2000,0.90593318,0.0000054587,0.133865,0.032609,6,0.0000057476,0.0000054353,0.0000054963,0.0000054029,0.0000048377,0.0000039428,0.0000032582,0.0000031079,0.0000013098,0.90734341,0.90758522,0.90770105,0.90786445,0.90816902,0.90854027,0.90882585,0.90902102,0.90958130,0.89863538,0.89870118,0.89825202,0.89787306,0.89799502,0.89839900,0.89832681,0.89462011,0.88856292
EXT_10,A,2000,0.91554347,0.0000200407,0.126567,0.027831,2,0.0000201398,0.0000201526,0.0000209235,0.0000201763,0.0000192820,0.0000179046,0.0000171643,0.0000160416,0.0000106415,0.91640365,0.91690073,0.91716798,0.91791816,0.91868665,0.91956144,0.92021694,0.92136478,0.92343027,0.89799378,0.89808267,0.89721471,0.89808368,0.89906503,0.90064038,0.90120326,0.90087746,0.91147850
EXT_11,A,2000,0.88982546,0.0000090023,0.103048,0.030874,6,0.0000094434,0.0000102101,0.0000122008,0.0000117180,0.0000117986,0.0000120222,0.0000127037,0.0000150411,0.0000149142,0.89062611,0.89061768,0.89026410,0.89071328,0.89098280,0.89121680,0.89132899,0.89138304,0.89218870,0.88384727,0.88319993,0.88111038,0.88194178,0.88205850,0.88195328,0.88104206,0.87630730,0.87328627
EXT_12,A,2000,0.90732335,0.0000165387,0.098145,0.031644,2,0.0000167083,0.0000159623,0.0000159723,0.0000146676,0.0000136414,0.0000137558,0.0000137516,0.0000136238,0.0000118104,0.90794884,0.90860644,0.90900008,0.90979040,0.91045663,0.91077187,0.91111045,0.91183389,0.91293857,0.89527796,0.89645971,0.89674144,0.89863267,0.90024001,0.90035701,0.90054044,0.90104546,0.90688566
EXT_13,A,2000,0.90009553,0.0000062237,0.118990,0.034299,2,0.0000068429,0.0000054893,0.0000072651,0.0000069444,0.0000059509,0.0000058101,0.0000053034,0.0000022478,-0.0000017523,0.90087109,0.90147497,0.90106406,0.90134779,0.90181036,0.90199795,0.90228881,0.90332325,0.90435889,0.89174301,0.89305660,0.89064847,0.89065764,0.89140481,0.89085471,0.89064500,0.89311095,0.89848693
EXT_14,A,2000,0.90323491,0.0000220433,0.119272,0.030759,2,0.0000217580,0.0000212481,0.0000208907,0.0000200164,0.0000196119,0.0000204996,0.0000201922,0.0000217022,0.0000221731,0.90409875,0.90480760,0.90545017,0.90623434,0.90684965,0.90708920,0.90768911,0.90830953,0.90927991,0.88936433,0.89054017,0.89155721,0.89324111,0.89438875,0.89380470,0.89499403,0.89360296,0.89345055
SELF_01,B,1138,0.91782929,0.0000076295,0.156948,0.019582,2,0.0000096252,0.0000067110,0.0000062902,0.0000021064,0.0000033226,0.0000025486,0.0000021857,-0.0000037398,-0.0000007390,0.91908637,0.91981908,0.92005684,0.92087581,0.92075111,0.92093096,0.92103714,0.92174179,0.92130782,0.91715900,0.91843554,0.91879149,0.92045268,0.92010650,0.92047176,0.92069257,0.92313262,0.92174084
SELF_02,B,1995,0.92207506,-0.0000011598,0.143266,0.020170,2,-0.0000007221,-0.0000014587,-0.0000014935,-0.0000015298,-0.0000015899,-0.0000019864,-0.0000022620,-0.0000035148,-0.0000032010,0.92309610,0.92330563,0.92328147,0.92325728,0.92323859,0.92331030,0.92333659,0.92353986,0.92329745,0.92286151,0.92358248,0.92351847,0.92344543,0.92338497,0.92376449,0.92398947,0.92594676,0.92471729
SELF_03,B,1390,0.91121252,-0.0000063655,0.129956,0.025876,2,-0.0000058679,-0.0000081856,-0.0000081592,-0.0000067640,-0.0000061410,-0.0000058462,-0.0000094930,-0.0000115748,-0.0000084372,0.91296266,0.91330944,0.91309499,0.91261313,0.91232413,0.91212629,0.91262468,0.91245690,0.91143821,0.91609731,0.91722920,0.91706758,0.91617921,0.91576416,0.91561076,0.91801032,0.91988202,0.91822418
SELF_04,B,1575,0.92320319,0.0000088993,0.127285,0.026379,11,0.0000081272,0.0000068649,0.0000074298,0.0000066031,0.0000065102,0.0000064049,0.0000065924,0.0000079003,0.0000059709,0.92428593,0.92479411,0.92483131,0.92520390,0.92538568,0.92556522,0.92568179,0.92577409,0.92647560,0.92009158,0.92112120,0.92086313,0.92160374,0.92177902,0.92194396,0.92183546,0.92044759,0.92268479
SELF_05,B,1192,0.91381397,0.0000016562,0.141129,0.023161,2,0.0000025960,-0.0000002459,-0.0000009334,0.0000022706,0.0000024713,0.0000027876,0.0000030423,0.0000077290,0.0000100086,0.91472043,0.91530303,0.91540334,0.91485265,0.91489938,0.91492916,0.91495990,0.91453313,0.91471697,0.91314918,0.91421797,0.91432876,0.91293109,0.91280649,0.91258701,0.91228706,0.90924544,0.90518933
SELF_06,B,1188,0.91868068,-0.0000011558,0.147963,0.019166,2,-0.0000003670,-0.0000024388,-0.0000010061,0.0000001373,0.0000012356,0.0000022185,0.0000013121,0.0000034492,0.0000017660,0.91995595,0.92031291,0.91999687,0.91977957,0.91961662,0.91950526,0.91967866,0.91953918,0.91991693,0.91992443,0.92066148,0.92000733,0.91950615,0.91906839,0.91869055,0.91906929,0.91821077,0.91949411
SELF_07,B,1451,0.92001236,-0.0000006912,0.151242,0.022130,2,0.0000000639,-0.0000013266,-0.0000020696,-0.0000027377,-0.0000030577,-0.0000035553,-0.0000020613,0.0000007383,-0.0000053150,0.92124442,0.92154975,0.92168077,0.92177313,0.92176614,0.92177524,0.92141119,0.92091087,0.92179990,0.92047270,0.92118161,0.92149945,0.92174688,0.92172166,0.92174660,0.92034040,0.91715991,0.92191116
SELF_08,B,1603,0.92041738,0.0000021990,0.156922,0.021803,2,0.0000026792,0.0000016337,0.0000007513,0.0000011520,0.0000012715,0.0000002598,-0.0000018749,-0.0000010003,-0.0000031056,0.92156612,0.92189039,0.92214889,0.92207105,0.92207569,0.92233810,0.92277933,0.92253164,0.92285402,0.91914134,0.91983779,0.92041073,0.91996526,0.91971772,0.92039720,0.92199545,0.92010417,0.92124395
SELF_09,B,599,0.92584267,0.0000241296,0.159969,0.019453,2,0.0000283101,0.0000198370,0.0000188029,0.0000242649,0.0000112789,0.0000033060,0.0000165063,-0.0000900386,-0.0003334711,0.92729170,0.92864592,0.92923557,0.92932498,0.93070407,0.93129820,0.93087359,0.93345570,0.93069559,0.92729170,0.92864592,0.92923557,0.92932498,0.93070407,0.93129820,0.93087359,0.93345570,0.93069559
SELF_10,B,937,0.91046307,0.0000056750,0.150392,0.020797,2,0.0000074137,-0.0000025676,-0.0000071065,-0.0000067827,-0.0000094100,-0.0000132674,-0.0000184194,-0.0000199921,-0.0000125557,0.91161754,0.91321929,0.91373320,0.91351617,0.91364107,0.91381454,0.91400632,0.91299736,0.91154855,0.91119859,0.91374832,0.91466334,0.91438650,0.91472629,0.91522322,0.91586736,0.91407988,0.90877813
SELF_11,B,2000,0.91623912,0.0000084674,0.138105,0.021878,4,0.0000090616,0.0000085336,0.0000080577,0.0000080396,0.0000083806,0.0000086922,0.0000084430,0.0000100420,0.0000111222,0.91763270,0.91802458,0.91838274,0.91858971,0.91869065,0.91881328,0.91909874,0.91912135,0.91937882,0.91258852,0.91352106,0.91443353,0.91484654,0.91483282,0.91489506,0.91586282,0.91441853,0.91356924
SELF_12,B,2000,0.92107288,-0.0000036711,0.131067,0.020282,11,-0.0000041516,-0.0000051792,-0.0000056262,-0.0000061419,-0.0000061579,-0.0000059931,-0.0000063399,-0.0000080729,-0.0000108435,0.92278013,0.92299729,0.92300351,0.92301647,0.92286805,0.92266500,0.92260963,0.92274476,0.92299772,0.92318801,0.92399650,0.92412029,0.92429804,0.92378907,0.92290287,0.92262782,0.92372348,0.92854475
SELF_13,B,917,0.91885352,0.0000025511,0.142997,0.021232,8,0.0000034010,-0.0000024603,-0.0000050680,-0.0000042611,-0.0000036887,-0.0000068380,-0.0000121845,-0.0000025972,-0.0000234690,0.91959831,0.92046362,0.92073175,0.92050297,0.92032450,0.92056377,0.92087821,0.91954551,0.92079553,0.91916124,0.92048796,0.92092940,0.92056060,0.92024711,0.92069331,0.92136384,0.91814554,0.92199666
SELF_14,B,761,0.90958506,-0.0000116396,0.126556,0.021839,2,-0.0000100349,-0.0000175019,-0.0000202003,-0.0000183818,-0.0000206322,-0.0000313246,-0.0000294401,-0.0000250822,-0.0000406651,0.91073217,0.91129789,0.91113518,0.91046485,0.91018968,0.91051580,0.90958126,0.90783090,0.90720887,0.91159936,0.91241100,0.91230700,0.91152530,0.91127129,0.91190376,0.91069497,0.90807935,0.90669043
